,position,homeAway,tries,tryassists,points,kicks,passes,runs,metres,cleanbreaks,defendersbeaten,offload,lineoutwonsteal,turnoversconceded,tackles,missedtackles,lineoutswon,penaltiesconceded,yellowcards,redcards,penalties,penaltygoals,conversiongoals,dropgoalsconverted,finalScore
93,0,1,0,0,0,0,3,3,1,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0
94,9,1,2,0,10,0,2,8,51,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
95,2,1,0,0,11,0,12,12,123,2,8,3,0,3,12,2,0,1,0,0,3,3,1,0,0
96,8,1,0,0,0,0,58,9,6,0,2,3,0,1,6,2,0,0,0,0,0,0,0,0,0
97,7,1,0,0,0,0,3,0,0,0,0,0,0,1,13,3,0,0,0,0,0,0,0,0,0
98,4,1,0,0,0,0,2,4,14,0,1,0,0,0,5,2,4,0,0,0,0,0,0,0,0
99,7,1,0,0,0,0,1,4,1,0,0,0,0,0,6,3,0,2,0,0,0,0,0,0,0
100,5,1,0,0,0,0,1,4,1,0,0,0,0,2,12,1,0,1,0,0,0,0,0,0,0
101,5,1,0,0,0,0,2,7,10,0,2,0,0,0,21,0,0,2,0,0,0,0,0,0,0
102,3,1,0,0,0,0,0,3,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0
103,3,1,0,0,0,0,2,3,3,0,0,0,0,0,12,0,0,1,1,0,0,0,0,0,0
104,6,1,0,0,0,0,1,8,20,0,0,0,0,1,18,3,0,0,0,0,0,0,0,0,0
105,1,0,0,0,0,0,7,12,45,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0
106,9,0,0,0,0,0,2,4,22,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
107,0,0,1,0,5,0,1,8,43,2,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,4,14,23,0,2,0,0,2,4,1,0,0,0,0,0,0,0,0,0
109,9,0,0,0,0,0,3,8,24,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2,0,0,0,5,0,26,11,25,0,3,0,0,0,9,0,0,0,0,0,1,1,1,0,0
111,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
112,7,0,0,0,0,0,2,7,2,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0
113,4,0,0,0,0,0,1,5,5,0,0,0,0,1,5,1,7,1,0,0,0,0,0,0,0
114,7,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
115,5,0,0,0,0,0,5,10,35,1,0,1,0,4,8,2,0,2,0,1,0,0,0,0,0
116,5,0,0,0,0,0,4,11,14,0,1,0,0,0,11,1,0,0,0,0,0,0,0,0,0
117,3,0,0,0,0,0,3,5,10,0,1,0,0,3,12,1,0,0,0,0,0,0,0,0,0
118,3,0,0,0,0,0,3,10,38,1,5,2,0,0,13,2,0,0,0,0,0,0,0,0,0
119,6,0,0,0,0,0,1,6,12,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0
120,1,1,0,1,17,0,13,13,92,1,4,2,0,0,3,1,0,0,0,0,3,3,4,0,0
121,9,1,1,1,5,0,2,7,89,2,3,0,0,3,4,1,0,0,0,0,0,0,0,0,0
122,0,1,0,0,0,0,5,7,41,1,4,0,0,1,2,3,0,0,0,0,0,0,0,0,0
123,0,1,1,0,5,0,6,8,14,1,3,0,0,1,5,2,0,0,0,0,0,0,0,0,0
124,9,1,0,0,0,0,6,8,16,1,4,1,0,1,8,1,0,0,0,0,0,0,0,0,0
125,2,1,0,0,0,0,9,10,18,0,0,1,0,0,7,3,0,1,0,0,0,0,0,0,0
126,8,1,2,1,10,0,53,13,68,3,1,2,0,2,5,1,0,0,0,0,0,0,0,0,0
127,7,1,0,0,0,0,2,7,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0
128,4,1,0,0,0,0,1,7,18,0,1,0,0,0,8,1,6,0,0,0,0,0,0,0,0
129,7,1,0,0,0,0,0,4,9,0,2,0,0,1,8,0,0,0,0,0,0,0,0,0,0
130,5,1,0,0,0,0,1,5,6,0,0,1,0,0,9,1,0,1,0,0,0,0,0,0,0
131,5,1,1,0,5,0,6,12,32,1,3,5,0,0,4,0,0,0,0,0,0,0,0,0,0
132,3,1,0,0,0,0,0,14,40,0,3,0,0,1,4,1,0,1,0,0,0,0,0,0,0
133,3,1,0,0,0,0,2,4,5,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
134,6,1,0,1,0,0,7,10,11,0,0,0,0,1,9,1,0,1,0,0,0,0,0,0,0
135,1,0,1,1,5,0,23,11,70,2,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0
136,9,0,1,0,5,0,0,10,85,2,2,0,0,2,3,6,0,1,0,0,0,0,0,0,0
137,0,0,0,1,0,0,10,6,58,1,4,1,0,1,7,1,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,1,4,7,0,1,0,0,0,6,2,0,1,0,0,0,0,0,0,0
139,9,0,1,0,5,0,1,5,69,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0
140,2,0,0,0,12,0,20,4,5,1,2,0,0,2,3,3,0,0,0,0,2,2,3,0,0
141,8,0,0,0,0,0,48,2,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0
142,7,0,0,0,0,0,1,5,8,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0
143,4,0,0,1,0,0,4,6,16,0,0,0,0,1,14,3,4,1,0,0,0,0,0,0,0
144,7,0,0,0,0,0,1,4,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0
